state,year,seatbelt_avg,exercise_avg,smoke_avg,drink_avg,checkup_avg,healthcare_avg,weight_avg,height_avg
IA,2010,4.806707855,0.727858013,0.43537415,0.512390925,3.605281815,0.929218968,177.6288893,5.571498928
IA,2011,4.820076046,0.73583484,0.448955916,0.570948526,3.529281605,0.922987672,178.6726431,5.589839985
IA,2012,4.787528517,0.754248559,0.441388638,0.541955931,3.523895401,0.927205337,180.1539938,5.589337566
IA,2013,4.81276891,0.710631275,0.437334393,0.538205538,3.554718477,0.93767927,180.6670134,5.577720713
IA,2014,4.797109429,0.752541925,0.441597383,0.553153646,3.58594275,0.954112669,181.4886544,5.591248901
IA,2015,4.810394061,0.725645374,0.439495041,0.551261114,3.585042657,0.959314775,183.6383547,5.603276353
IA,2016,4.775351014,0.75308828,0.429098172,0.562422744,3.592501537,0.962979752,184.1577838,5.603006123
IA,2017,4.781438026,0.744601638,0.429759174,0.588337685,3.53981029,0.948927765,188.7988764,5.626743914
KS,2006,4.535882728,0.751200404,0.467088608,0.458380844,3.457325007,0.908159393,174.6677611,5.56924275
KS,2007,1.82300885,0.81189778,0.306370495,0.465962869,3.341728181,0.871698113,249.643784,6.65857402
KS,2008,4.617933723,0.724542923,0.444457919,0.465962869,3.584493042,0.922386612,176.9037647,5.567546302
KS,2010,4.669789227,0.731070816,0.449416103,0.468884252,3.593226741,0.919210494,178.6661363,5.571441684
KS,2011,4.724755361,0.721371677,0.443810785,0.473728325,3.534851011,0.89703715,178.8135524,5.571870562
KS,2012,4.708762195,0.765169634,0.438619952,0.475383374,3.536958292,0.897169728,178.1745751,5.571950248
KS,2013,4.743347188,0.729861638,0.447781099,0.496032298,3.55032777,0.89106932,179.8188366,5.583775029
KS,2014,4.699167273,0.750916894,0.427496799,0.500362056,3.529430763,0.910365901,182.0144216,5.588147022
KS,2015,4.731304393,0.734259259,0.430836016,0.508631745,3.534316394,0.920834332,195.6331186,5.598254195
KS,2016,4.690671959,0.75790721,0.433370556,0.5256687,3.527769893,0.919652651,182.6617259,5.600095481
KS,2017,4.72326535,0.715977594,0.421312487,0.537582556,3.512931034,0.911228867,185.1147467,5.617971787
KY,2006,4.59715994,0.632898526,0.554294427,0.23933607,3.509153525,0.859083192,175.3968845,5.529701434
KY,2007,1.746031746,0.727755644,0.258792303,0.291925466,3.303719008,0.80730897,231.9508958,5.830402566
KY,2008,4.69216734,0.644041651,0.520262447,0.291925466,3.432713853,0.881286174,177.3066256,5.527948981
KY,2010,4.698374634,0.644432842,0.526508705,0.286747305,3.47975162,0.875931494,176.9962171,5.518816854
KY,2011,4.704356081,0.677436165,0.52316507,0.334463397,3.511623165,0.87206781,178.7095538,5.534262172
KY,2012,4.697377401,0.671320755,0.521508998,0.324206656,3.50647454,0.868957704,179.7869254,5.540748242
KY,2013,4.733416641,0.679670612,0.504993573,0.3187255,3.556823821,0.872718493,180.5408399,5.540141591
KY,2014,4.750707643,0.686521573,0.508166259,0.301719803,3.627420301,0.947962502,180.9881713,5.543562593
KY,2015,4.746276667,0.659596891,0.486085112,0.335908803,3.663302637,0.952702703,182.8910406,5.555603219
KY,2016,4.711838845,0.700406123,0.48321508,0.376331487,3.663602352,0.959849828,183.4796131,5.573581929
KY,2017,4.733866667,0.642096965,0.490740741,0.381930185,3.631095226,0.948404786,185.4395727,5.586262576
LA,2006,4.798024996,0.693218025,0.445272119,0.443124714,3.603291536,0.812547471,173.3433808,5.533045542
LA,2007,1.913580247,0.713692946,0.330901511,0.425649913,3.637333333,0.787973043,238.7371695,6.410273026
LA,2008,4.842438082,0.685946133,0.432226833,0.425649913,3.70752726,0.837894008,175.0393307,5.525185441
LA,2010,4.864277145,0.6829014,0.461159247,0.434412774,3.657091019,0.849329359,177.792436,5.523476276
LA,2011,4.859572352,0.646359438,0.4696085,0.424932031,3.66001955,0.844336012,179.6867539,5.516076147
LA,2012,4.836073219,0.660414269,0.450683028,0.382122382,3.661670994,0.835755479,180.9694042,5.521662449
LA,2013,4.86745982,0.661410788,0.436477479,0.434782609,3.719569193,0.878087649,178.7049702,5.518472498
LA,2014,4.86954421,0.694136044,0.460456942,0.465481002,3.657475295,0.866645748,180.7867521,5.544003541
LA,2015,4.834978486,0.657789945,0.445780292,0.441071002,3.606635071,0.893823734,183.2709915,5.552354114
LA,2016,4.829846884,0.68559131,0.455696203,0.452223877,3.634720471,0.922334087,181.9895599,5.53234391
LA,2017,4.828671329,0.680185683,0.461005999,0.501295032,3.562270221,0.917474634,184.3568065,5.565167825
ME,2006,4.614114514,0.77757449,0.53069255,0.566062516,3.559957739,0.902068604,171.0971279,5.555548303
ME,2007,2.155172414,0.834515366,0.29756965,0.562461538,3.428401664,0.891907856,237.1015948,6.453140382
ME,2008,4.737362807,0.760846236,0.5312548,0.562461538,3.588552916,0.911683533,172.9171516,5.542202654
ME,2010,4.768902675,0.761295277,0.527195577,0.552162197,3.568688039,0.907775074,174.5669563,5.538110146
ME,2011,4.783854808,0.765198309,0.53004037,0.582190649,3.58070913,0.909528697,174.5601764,5.541043111
